GRMZM5G811749	Zm00001ca000001
GRMZM5G836994	Zm00001ca000002
GRMZM5G856777	Zm00001ca000003
GRMZM5G813608	Zm00001ca000004
GRMZM5G877454	Zm00001ca000005
GRMZM5G892247	Zm00001ca000006
GRMZM5G899366	Zm00001ca000007
GRMZM5G809869	Zm00001ca000008
GRMZM5G875287	Zm00001ca000009
GRMZM5G800980	Zm00001ca000010
GRMZM5G808402	Zm00001ca000011
GRMZM5G801958	Zm00001ca000012
GRMZM5G815453	Zm00001ca000013
GRMZM5G831540	Zm00001ca000014
GRMZM5G800780	Zm00001ca000015
GRMZM5G801074	Zm00001ca000016
GRMZM5G804708	Zm00001ca000017
GRMZM5G808939	Zm00001ca000018
GRMZM5G815606	Zm00001ca000019
GRMZM5G831399	Zm00001ca000020
GRMZM5G804776	Zm00001ca000021
GRMZM5G830210	Zm00001ca000022
GRMZM5G838396	Zm00001ca000023
GRMZM5G845244	Zm00001ca000024
GRMZM5G853305	Zm00001ca000025
GRMZM5G858556	Zm00001ca000026
GRMZM5G879235	Zm00001ca000027
GRMZM5G884960	Zm00001ca000028
GRMZM5G899836	Zm00001ca000029
GRMZM5G806488	Zm00001ca000030
GRMZM5G844628	Zm00001ca000031
GRMZM5G872747	Zm00001ca000032
GRMZM5G876106	Zm00001ca000033
GRMZM5G877173	Zm00001ca000034
GRMZM5G898442	Zm00001ca000035
GRMZM5G800096	Zm00001ca000036
GRMZM5G815553	Zm00001ca000037
GRMZM5G894515	Zm00001ca000038
GRMZM5G835775	Zm00001ca000039
GRMZM5G844074	Zm00001ca000040
GRMZM5G853723	Zm00001ca000041
GRMZM5G864407	Zm00001ca000042
GRMZM5G866223	Zm00001ca000043
GRMZM5G874448	Zm00001ca000044
GRMZM5G810298	Zm00001ca000045
GRMZM5G818111	Zm00001ca000046
GRMZM5G855343	Zm00001ca000047
GRMZM5G866064	Zm00001ca000048
GRMZM5G866761	Zm00001ca000049
GRMZM5G885905	Zm00001ca000050
GRMZM5G898466	Zm00001ca000051
GRMZM5G816453	Zm00001ca000052
GRMZM5G806435	Zm00001ca000053
GRMZM5G849223	Zm00001ca000054
GRMZM5G853409	Zm00001ca000055
GRMZM5G851708	Zm00001ca000056
GRMZM5G892769	Zm00001ca000057
GRMZM5G892983	Zm00001ca000058
GRMZM5G860062	Zm00001ca000059
GRMZM5G894376	Zm00001ca000060
GRMZM5G816274	Zm00001ca000061
GRMZM5G852144	Zm00001ca000062
GRMZM5G854065	Zm00001ca000063
GRMZM5G849018	Zm00001ca000064
GRMZM5G856972	Zm00001ca000065
GRMZM5G877040	Zm00001ca000066
